Job Title,Salary Estimate,salary_min,salary_max,salary_avg,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
Loan Data Analyst,93-159 ,93,159,126.0,3.7,"First Republic Bank
3.7","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,1985,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),"Silicon Valley Bank, City National Bank (Texas)",0
Data and Policy Analyst IV,93-159 ,93,159,126.0,3.2,"Acumen
3.2","Burlingame, CA","Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD),Acumen,0
DATA Analyst-Remote,93-159 ,93,159,126.0,3.7,"Software Guidance & Assistance
3.7","San Francisco, CA","Tarrytown, NY",51 to 200 employees,1981,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,0
Business Data Analyst,93-159 ,93,159,126.0,3.2,"Scale AI
3.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0
"Data Analyst, Growth",93-159 ,93,159,126.0,4.1,"Omada Health
4.1","San Francisco, CA","San Francisco, CA",201 to 500 employees,2011,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,1
Data Analyst,93-159 ,93,159,126.0,3.2,"QuinStreet
3.2","San Mateo, CA","Foster City, CA",501 to 1000 employees,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,0
Data Analyst,93-159 ,93,159,126.0,5.0,"Softova Inc
5.0","San Mateo, CA","Piscataway, NJ",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,0
Data Analyst,93-159 ,93,159,126.0,4.1,"LeadStack
4.1","Foster City, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0
"Senior Data Analyst, Member Services",93-159 ,93,159,126.0,4.8,"Chime
4.8","San Francisco, CA","San Francisco, CA",201 to 500 employees,2013,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,1
Data Analyst,93-159 ,93,159,126.0,4.5,"Marin City Health and Wellness Center
4.5","Marin City, CA","Marin City, CA",1 to 50 employees,2007,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,0
Senior Data Analyst,93-159 ,93,159,126.0,4.1,"TaskRabbit
4.1","San Francisco, CA","San Francisco, CA",201 to 500 employees,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,1
Junior Data Analyst,93-159 ,93,159,126.0,5.0,"Staffigo Technical Services, LLC
5.0","San Francisco, CA","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,0
Business Data Analyst,93-159 ,93,159,126.0,3.9,"Diverse Lynx
3.9","San Francisco, CA","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,0
"Sr. Data Analyst, Twitter Service Tech",93-159 ,93,159,126.0,4.0,"Twitter
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest",0
Data Analyst,93-159 ,93,159,126.0,4.6,"Ascent
4.6","Daly City, CA","Concord, CA",1001 to 5000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0
Data Analyst,93-159 ,93,159,126.0,3.4,"Thermo Fisher Scientific
3.4","South San Francisco, CA","Waltham, MA",10000+ employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Illumina, Agilent Technologies, Roche",0
Data Analyst,93-159 ,93,159,126.0,3.2,"Net2Source
3.2","San Francisco, CA","Somerset, NJ",1001 to 5000 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0
Senior Data Analyst,82-116 ,82,116,99.0,3.3,"Vida Health
3.3","San Francisco, CA","San Francisco, CA",51 to 200 employees,2014,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0
Web Data Analyst,82-116 ,82,116,99.0,4.0,"SACC
4.0","San Mateo, CA","San Mateo, CA",Unknown,-1,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,0
Data Analyst (APPZ-DAHY),82-116 ,82,116,99.0,-1.0,Applicantz,"San Francisco, CA","Houston, TX",51 to 200 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,0
"Data Analyst, Data & Analytics (Advanced Analytics) Manager (Multiple Positions)",82-116 ,82,116,99.0,-1.0,Ernst & Young LLP,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1,0
Data Scientist Analyst,82-116 ,82,116,99.0,3.9,"Netpace, Inc
3.9","Foster City, CA","San Ramon, CA",51 to 200 employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1,0
Finance Data Analyst,82-116 ,82,116,99.0,3.0,"Qualys
3.0","Foster City, CA","Foster City, CA",501 to 1000 employees,1999,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"NortonLifeLock, McAfee, Verisign",0
Business Data Analyst,82-116 ,82,116,99.0,-1.0,"Scale AI, Inc.","San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1,0
Data Quality Analyst,82-116 ,82,116,99.0,3.8,"Focal Systems
3.8","Burlingame, CA","Burlingame, CA",1 to 50 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,0
Data Analyst - San Francisco CA / VA - Fulltime,82-116 ,82,116,99.0,3.8,"United IT Solutions
3.8","San Francisco, CA","Irving, TX",1 to 50 employees,2010,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,0
Data Analyst,82-116 ,82,116,99.0,-1.0,cyitechsearch,"San Bruno, CA",-1,-1,-1,-1,-1,-1,-1,-1,0
Data Analyst,82-116 ,82,116,99.0,-1.0,IT Avalon,"Oakland, CA","Brentwood, CA",51 to 200 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,0
HR Data Analyst,82-116 ,82,116,99.0,4.0,"Snowflake Computing
4.0","San Mateo, CA","San Mateo, CA",1001 to 5000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Amazon, Google, Microsoft",0
Scientific Data Manager and Analyst,82-116 ,82,116,99.0,4.4,"Perfect Day
4.4","Emeryville, CA","Emeryville, CA",51 to 200 employees,2014,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,0
Senior Data Analyst - Finance & Platform Analytics,82-116 ,82,116,99.0,3.6,"Twitch
3.6","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,-1,1
Data Analyst,82-116 ,82,116,99.0,3.2,"Infotech Sourcing
3.2","San Francisco, CA","Edison, NJ",51 to 200 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD),-1,0
Business Data Analyst,82-116 ,82,116,99.0,3.9,"ApTask
3.9","San Francisco, CA","Iselin, NJ",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Collabera, Mitchell Martin, The Judge Group",0
Product Compliance Data Analyst,82-116 ,82,116,99.0,4.0,"Square
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2009,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),-1,0
Data and Policy Analyst - Statistical Programmer,82-116 ,82,116,99.0,3.2,"Acumen
3.2","Burlingame, CA","Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD),Acumen,0
Principal Data Analyst,82-116 ,82,116,99.0,4.4,"Hinge Health
4.4","San Francisco, CA","San Francisco, CA",201 to 500 employees,2014,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,0
Data Analyst,82-116 ,82,116,99.0,-1.0,Koger LLC,"San Mateo, CA","Arlington, VA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0
Data Analyst,82-116 ,82,116,99.0,-1.0,TransReach,"Oakland, CA","East Brunswick, NJ",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0
Master Data Analyst – SAP MDG Platform,82-116 ,82,116,99.0,4.5,"Rose International
4.5","San Francisco, CA","Chesterfield, MO",1001 to 5000 employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0
Data Systems Analyst,82-116 ,82,116,99.0,-1.0,GLIDE MEMORIAL CHURCH,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1,0
