work_year,job_title,job_category,salary_currency,salary_local,salary_in_usd,employee_residence,experience_level,employment_type,remote_ratio,company_location,company_country,company_size,data_source,work_setting_standardized
,Business Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"Brooklyn, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Healthcare Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Supply Chain Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst - IBM Tool Set,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Analyst-Data Integrity,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,"Reference Data Operations Analyst - Index Instrument, Associate",,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"Long Island City, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data & Service Health Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data/Systems Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"Brooklyn, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"Jersey City, NJ",United States,Unknown,Glassdoor Data Analyst Jobs,
,Data Analyst Intern,,USA,69000.0,69000.0,,,,,"Jersey City, NJ",United States,Medium,Glassdoor Data Analyst Jobs,
,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Reporting Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"Jersey City, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,ERP Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"Florham Park, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,Healthcare Data/Reporting Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,PBM Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst (Temporary Assignment),,USA,72000.0,72000.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Market Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,72000.0,72000.0,,,,,"Jersey City, NJ",United States,Small,Glassdoor Data Analyst Jobs,
,Junior Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Microsoft Dynamics CRM Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Practice Analyst Data,,USA,72000.0,72000.0,,,,,"Manhasset, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Buyside - Data Scientist/Research Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst - Healthcare Provider Networks and Formularies,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Electronic Trading Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,"Data Analyst, Center for Developing Brain",,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Processing & Performance Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Business Analyst - Data Analyst,,USA,72000.0,72000.0,,,,,"Newark, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst with Rochade,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Advertising Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Product Analyst - Data,,USA,72000.0,72000.0,,,,,"Jersey City, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,Senior Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
